kepid,kepoi_name,kepler_name,exomoon_reference,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
5794379,K00842.01,Kepler-241 b,"<a refstr="Hippke, 2015 " href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>",CONFIRMED,CANDIDATE,1,0,0,0,0,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562,23.6,52.7,1,q1_q17_dr25_tce,4702,4.592,0.686,292.91312,41.060921,15.389
5794379,K00842.02,Kepler-241 c,"<a refstr="Hippke, 2015 " href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>",CONFIRMED,CANDIDATE,0.999,0,0,0,0,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88,51.7,2,q1_q17_dr25_tce,4702,4.592,0.686,292.91312,41.060921,15.389
1871056,K01001.01,Kepler-264 b,"<a refstr="Hippke, 2015 " href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>",CONFIRMED,CANDIDATE,0.976,0,0,0,0,40.8065333,155.71586,0.016,13.135,313.9,3.71,772,83.75,54.8,1,q1_q17_dr25_tce,6207,3.963,2.097,292.04462,37.37624,13.038
4815520,K00367.01,Kepler-1656 b,"<a refstr="Hippke, 2015 " href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>",CONFIRMED,CANDIDATE,0.998,0,0,0,0,31.57865122,177.206237,0.04,2.12791,2125.4,4.52,570,24.94,324.3,1,q1_q17_dr25_tce,5733,4.442,0.99,284.47217,39.911812,11.105
10187017,K00082.01,Kepler-102 e,"<a refstr="Hippke, 2015 " href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>",CONFIRMED,CANDIDATE,1,0,0,0,0,16.14567193,134.754877,0.75,3.7236,941.1,2.48,546,20.98,242.7,1,q1_q17_dr25_tce,4900,4.602,0.741,281.48273,47.208031,11.492
6020753,K00657.02,Kepler-202 c,"<a refstr="Hippke, 2015 " href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>",CONFIRMED,CANDIDATE,1,0,0,0,0,16.28247625,180.79815,0.382,2.9227,792.6,1.88,505,15.37,60,2,q1_q17_dr25_tce,4671,4.636,0.68,282.97342,41.32201,13.872
7211141,K01355.01,Kepler-827 b,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,0.995,0,0,0,0,51.92920654,151.93321,0.398,5.2637,3425.8,8.49,574,25.6,81.8,1,q1_q17_dr25_tce,5671,4.128,1.442,294.96606,42.708569,15.897
11030711,K01429.01,Kepler-1750 b,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,0.997,0,0,0,0,205.912735,252.74129,0.196,9.992,2378.8,4.68,298,1.85,49.4,1,q1_q17_dr25_tce,5644,4.457,0.969,292.3515,48.511082,15.531
10063802,K01888.01,Kepler-1000 b,"<a refstr="Fox & Wiegert, 2021 " href=https://academic.oup.com/mnras/article/501/2/2378/6019892> </a><a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,0.978,0,0,0,0,120.0183551,134.18742,0.58,11.637,886,4.54,473,11.84,46.1,1,q1_q17_dr25_tce,6469,4.253,1.467,286.68552,47.098221,13.256
11498128,K02296.01,Kepler-1177 b,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,0.99,0,0,0,0,106.247882,135.7435,0.586,13.78,397.4,2.01,377,4.75,24,1,q1_q17_dr25_tce,5679,4.435,0.972,286.67145,49.406288,14.552
6149910,K02469.01,Kepler-1840 b,"<a refstr="Fox & Wiegert, 2021 " href=https://academic.oup.com/mnras/article/501/2/2378/6019892> </a><a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,1,0,0,0,0,131.187921,172.3923,0.069,6.905,915.9,2.34,284,1.54,23.9,1,q1_q17_dr25_tce,4898,4.518,0.803,298.59482,41.43594,15.048
8509442,K02992.01,,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CANDIDATE,CANDIDATE,0.9,0,0,0,0,82.6595174,152.6726,0.579,3.48,1270.7,2.03,233,0.7,17.1,1,q1_q17_dr25_tce,3952,4.716,0.553,296.73724,44.50148,15.995
6697817,K03508.01,,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CANDIDATE,CANDIDATE,0.975,0,0,0,0,190.800788,236.0389,0.066,8.082,287.6,1.67,321,2.51,13,1,q1_q17_dr25_tce,5993,4.489,0.986,293.62357,42.129639,14.322
4150804,K03678.01,Kepler-1513 b,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,1,0,0,0,0,160.8845197,277.504342,0.284,10.8771,7590.4,9.09,346,3.39,526.1,1,q1_q17_dr25_tce,5650,4.313,1.044,289.7916,39.285328,12.888
11518142,K03762.01,Kepler-1519 b,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CONFIRMED,CANDIDATE,0.999,0,0,0,0,240.7990472,334.14037,0.647,16.666,5022.9,10.31,342,3.22,170.1,1,q1_q17_dr25_tce,5758,4.168,1.385,296.66791,49.461861,14.822
3974928,K05033.01,,"<a refstr="Kipping & Yahalomi, 2022 " href=https://arxiv.org/abs/2211.06210> </a>",CANDIDATE,CANDIDATE,,0,0,0,0,127.671711,227.0906,0.2999,2.637,450.1,5.52,519,17.13,8,1,q1_q16_tce,4985,3.534,2.633,296.35797,39.078579,13.832
3425851,K00268.01,,"<a refstr="Fox & Wiegert, 2021 " href=https://academic.oup.com/mnras/article/501/2/2378/6019892> </a><a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CANDIDATE,CANDIDATE,1,0,0,0,0,110.3783828,175.9317,0.014,12.211,489.8,3.02,473,11.82,108.9,1,q1_q17_dr25_tce,6342,4.242,1.359,285.72879,38.506973,10.56
11623629,K00365.01,Kepler-538 b,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.755,0,0,0,0,81.737872,211.678818,0.02,6.6923,628.8,2.16,385,5.2,135.4,1,q1_q17_dr25_tce,5559,4.502,0.873,297.48691,49.623451,11.195
7296438,K00364.01,,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CANDIDATE,CANDIDATE,,0,0,0,0,173.9285134,223.7546088,,2.64,,,,,,,,,,,295.87231,42.881149,10.087
5966322,K00303.01,Kepler-517 b,"<a refstr="Fox & Wiegert, 2021 " href=https://academic.oup.com/mnras/article/501/2/2378/6019892> </a><a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.995,0,0,0,0,60.92818866,173.37212,0.009,6.3336,755.6,2.78,467,11.28,120.1,1,q1_q17_dr25_tce,5638,4.359,1.023,293.67532,41.295361,12.193
8292840,K00260.02,Kepler-126 d,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,1,0,0,0,0,100.2830675,245.04318,0.535,10.8636,351.2,2.51,475,12.07,81.9,1,q1_q17_dr25_tce,6214,4.238,1.297,289.34732,44.208511,10.5
9451706,K00271.01,Kepler-127 d,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.999,0,0,0,0,48.6303805,172.54736,0.034,7.0805,339.8,2.48,590,28.6,53.9,2,q1_q17_dr25_tce,6075,4.264,1.352,285.19,46.027962,11.485
9414417,K00974.01,,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CANDIDATE,CANDIDATE,0.999,0,0,0,0,53.5057611,172.98304,0.46,10.5616,195.6,2.52,675,49.16,71.2,1,q1_q17_dr25_tce,6247,4.016,1.762,295.80267,45.988079,9.582
9002278,K00701.03,Kepler-62 e,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.994,0,0,0,0,122.3858681,150.41158,0.101,7.123,711.1,1.72,269,1.24,46.3,3,q1_q17_dr25_tce,4926,4.653,0.662,283.21274,45.349861,13.725
9965439,K00722.01,Kepler-655 b,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.995,0,0,0,0,46.40626,192.99633,0.018,7.0281,469.1,2.66,588,28.23,51.2,1,q1_q17_dr25_tce,6086,4.276,1.227,297.25909,46.843189,13.489
11622600,K01876.01,Kepler-991 b,"<a refstr="Fox & Wiegert, 2021 " href=https://academic.oup.com/mnras/article/501/2/2378/6019892> </a><a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.854,0,0,0,0,82.5341188,209.12763,0.033,4.8556,1895.4,2.45,260,1.08,40.1,1,q1_q17_dr25_tce,4316,4.678,0.58,297.09067,49.626572,15.187
7199397,K00075.01,,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CANDIDATE,CANDIDATE,1,0,0,0,0,105.8817667,156.97935,0.539,18.044,1556.3,10.16,595,29.64,301.8,1,q1_q17_dr25_tce,5903,3.757,2.499,291.49722,42.728481,10.775
11297236,K01857.01,Kepler-1771 b,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.862,0,0,0,0,88.6440015,145.47193,0.724,7.82,625.5,2.51,391,5.51,57.6,1,q1_q17_dr25_tce,5661,4.471,0.934,292.0134,49.019119,13.748
9349482,K02020.01,Kepler-1058 b,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.996,0,0,0,0,110.9643706,187.04621,0.729,12.831,1283.2,2.11,239,0.77,42.1,1,q1_q17_dr25_tce,4441,4.695,0.546,294.59579,45.875031,15.498
10810838,K00174.01,Kepler-482 b,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CONFIRMED,CANDIDATE,0.999,0,0,0,0,56.35407916,144.83768,0.835,3.4449,1037,2.59,352,3.63,59.4,1,q1_q17_dr25_tce,4802,4.582,0.701,296.82291,48.107552,13.779
10471621,K02554.01,,"<a refstr="Kipping et al., 2013 " href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>",CANDIDATE,CANDIDATE,0.582,0,0,0,0,39.7557642,150.60745,1.219,1.958,621.8,13.72,325,2.64,10.2,2,q1_q17_dr25_tce,4405,4.732,0.511,292.37979,47.644611,15.439
