pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-90 i,KOI-351,1,1,8,Transit,2017,Kepler,Published Confirmed,0,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>,14.44912000000,,1.32000000,0.11776251,,,,,,709.00,0,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>,,6015.00,1.290000,1.120000,0.0980,[M/H],4.270000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.25400000,13.8830000,12.4820000,13.7397000,2017-12-12,2018-02,2017-12-14
Kepler-1704 b,Kepler-1704,1,1,1,Transit,2013,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>,988.88112000000,2.0270000000,11.94877343,1.06600000,1322.16617312,4.16000000,Mass,0.920000,0.3420,253.80,0,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>,,5746.00,1.697000,1.132000,0.1960,[Fe/H],4.031000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m48.30s,291.2012559,+51d08m39.28s,51.1442437,835.45500000,13.3920000,11.7920000,13.2514000,2022-11-07,2021-10,2022-11-07
PH2 b,PH2,1,1,1,Transit,2013,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,282.52542000000,0.8330000000,9.33708092,0.83300000,87.08498352,0.27400000,Mass,0.215000,1.2000,295.10,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5734.00,0.949000,0.966000,0.0170,[Fe/H],4.470000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m03.27s,289.7636212,+51d57m45.66s,51.9626830,343.86300000,12.6450000,11.1160000,12.5811000,2024-09-13,2024-03,2024-09-13
Kepler-167 b,Kepler-167,1,2,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,4.39315390000,0.0482500000,1.71800000,0.15326996,,,,0.000000,,918.00,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884.00,0.749000,0.777000,0.0200,[Fe/H],4.579000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.90800000,14.2840000,11.8320000,14.0004000,2022-07-18,2022-02,2022-07-18
Kepler-167 c,Kepler-167,1,2,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,7.40610600000,0.0684000000,1.67400000,0.14934453,,,,0.000000,,771.00,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884.00,0.749000,0.777000,0.0200,[Fe/H],4.579000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.90800000,14.2840000,11.8320000,14.0004000,2022-07-18,2022-02,2022-07-18
Kepler-167 d,Kepler-167,1,2,4,Transit,2016,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,21.80379000000,0.1404000000,1.23800000,0.11044715,,,,0.000000,,538.00,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884.00,0.749000,0.777000,0.0200,[Fe/H],4.579000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.90800000,14.2840000,11.8320000,14.0004000,2022-07-18,2022-02,2022-07-18
Kepler-167 e,Kepler-167,1,2,4,Transit,2016,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,1071.23205000000,1.8830000000,10.16000000,0.90641605,321.00669107,1.01000000,Mass,0.290000,,134.40,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884.00,0.749000,0.777000,0.0200,[Fe/H],4.579000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.90800000,14.2840000,11.8320000,14.0004000,2022-07-18,2022-02,2022-07-18
Kepler-1981 b,Kepler-1981,1,1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,453.54212000000,1.3292000000,9.23000000,0.82344686,,,,0.000000,5.4500,390.00,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5874.00,3.006000,1.519000,0.1200,[Fe/H],3.664000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m54.11s,287.9754691,+38d44m25.08s,38.7402988,659.39500000,13.5630000,11.9510000,13.3811000,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-150 b,Kepler-150,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.42805400000,0.0440000000,1.25000000,0.11200000,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560.00,0.939000,,,,4.466000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.09200000,15.1610000,13.3670000,14.9743000,2014-05-14,2014-03,2014-05-14
Kepler-150 c,Kepler-150,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.38199800000,0.0730000000,3.69000000,0.32900000,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560.00,0.939000,,,,4.466000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.5208970,891.09200000,15.1610000,13.3670000,14.9743000,2014-05-14,2014-03,2014-05-14
