pl_name,hostname,exomoon_reference,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-90 i,KOI-351,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,8,Transit,2017,Kepler,Published Confirmed,0,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>,14.44912,,1.32,0.11776251,,,,,,709,0,<a refstr=SHALLUE__AMP__VANDERBURG_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...94S/abstract target=ref>Shallue &amp; Vanderburg 2018</a>,,6015,1.29,1.12,0.098,[M/H],4.27,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,13.883,12.482,13.7397,2017-12-12,2018-02,2017-12-14
Kepler-1704 b,Kepler-1704,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,1,Transit,2013,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>,988.88112,2.027,11.94877343,1.066,1322.166173,4.16,Mass,0.92,0.342,253.8,0,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>,,5746,1.697,1.132,0.196,[Fe/H],4.031,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m48.30s,291.2012559,+51d08m39.28s,51.1442437,835.455,13.392,11.792,13.2514,2022-11-07,2021-10,2022-11-07
PH2 b,PH2,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,1,Transit,2013,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,282.52542,0.833,9.33708092,0.833,87.08498352,0.274,Mass,0.215,1.2,295.1,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5734,0.949,0.966,0.017,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m03.27s,289.7636212,+51d57m45.66s,51.962683,343.863,12.645,11.116,12.5811,2024-09-13,2024-03,2024-09-13
Kepler-167 b,Kepler-167,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",2,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,4.3931539,0.04825,1.718,0.15326996,,,,0,,918,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884,0.749,0.777,0.02,[Fe/H],4.579,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.908,14.284,11.832,14.0004,2022-07-18,2022-02,2022-07-18
Kepler-167 c,Kepler-167,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",2,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,7.406106,0.0684,1.674,0.14934453,,,,0,,771,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884,0.749,0.777,0.02,[Fe/H],4.579,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.908,14.284,11.832,14.0004,2022-07-18,2022-02,2022-07-18
Kepler-167 d,Kepler-167,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",2,4,Transit,2016,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,21.80379,0.1404,1.238,0.11044715,,,,0,,538,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884,0.749,0.777,0.02,[Fe/H],4.579,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.908,14.284,11.832,14.0004,2022-07-18,2022-02,2022-07-18
Kepler-167 e,Kepler-167,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",2,4,Transit,2016,Kepler,Published Confirmed,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,1071.23205,1.883,10.16,0.90641605,321.0066911,1.01,Mass,0.29,,134.4,0,<a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>,,4884,0.749,0.777,0.02,[Fe/H],4.579,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.908,14.284,11.832,14.0004,2022-07-18,2022-02,2022-07-18
Kepler-1981 b,Kepler-1981,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,1,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,453.54212,1.3292,9.23,0.82344686,,,,0,5.45,390,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5874,3.006,1.519,0.12,[Fe/H],3.664,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m54.11s,287.9754691,+38d44m25.08s,38.7402988,659.395,13.563,11.951,13.3811,2017-05-08,2017-08-31 0:00,2017-05-08
Kepler-150 b,Kepler-150,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,3.428054,0.044,1.25,0.112,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.939,,,,4.466,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.520897,891.092,15.161,13.367,14.9743,2014-05-14,2014-03,2014-05-14
Kepler-150 c,Kepler-150,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,7.381998,0.073,3.69,0.329,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5560,0.939,,,,4.466,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m56.18s,288.2341025,+40d31m15.23s,40.520897,891.092,15.161,13.367,14.9743,2014-05-14,2014-03,2014-05-14
